Username,check,person,Confidence (0-100),Notes,X5,Country,X6,X7,X8,X9,X10,X11,X12,X13,X14,variable,coding
5orm,2,dana,70,"pro jan 25 and anti morsi ""Amnesty International | Egypt: Evidence points to torture carried out by Morsi supporters http://www.amnesty.org/en/for-media/press-releases/egypt-evidence-points-torture-carried-out-morsi-supporters-2013-08-02#.UfwWOL1clfF.twitter …""",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
5orm,2,hana,60,tweets both pro morsi and pro sisi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
ahmadesseily,2,dana,85,called MB terrorists and antigov,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
ahmadesseily,2,hana,70,"tweets are pro-muslim brotherhood, but seems ambivalent about being pro-morsi. doesnt seem pro-sisi",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
Ali_Larayedh,2,dana,95,"He is former prime minister of Ennahdha party, the islamist but democratic party... he is quoted in this article http://www.aljazeera.com/news/2016/05/left-tunisia-ennahda-party-160526101937131.html: Party officials have stressed that Ennahda's separation of religion and politics is a genuine shift. ""It's a natural development within Tunisia, a natural evolution of the Ennahda party and of a democratic Tunisia,"" Secretary General and Congress President Ali al-Arid told Al Jazeera.",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
Ali_Larayedh,2,hana,60,"seems secularist since he tweeted this quote ""
Ali Al-Arid, Vice-President of the Renaissance Movement:
The term political Islam is poisoned by us and we do not adopt this excuse."" and pro democracy based on tweetng this quote: ""
Prime Minister at the conclusion of the annual symposium of Tunisians abroad:
No democracy without institutions.""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
amrrodriguez,2,dana,20,"""Scalping Mubarak ,,, Coming Soon ,,,, 2012"".... seems for jan25 but very limited number of tweets on morsi, mb and sisi... ""The White House, perhaps surprisingly, thinks a Morsi victory would be the best for Egypt’s economic transition - Washington Post"".... ""Shafeeq is a pimp ,, He never could have outfought Them ,,, it Was Morsi -- The Godfather""",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
amrrodriguez,2,hana,70,tweets are pro sisi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
bassem_sabry,2,dana,90,He was a founding member of and strategist for the Constitution Party -- a liberal party founded by leading democracy campaigner and former vice president Mohamed ElBaradei,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
bassem_sabry,2,hana,75,the tweets on this page are both pro morsi and pro sisi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
dr_heba_raouf,2,dana,60,"she is pro-democrac, is very religious, but says wants islam to not be in govt as a way to maintain authority but for moral justice and ""harmonizing it with the secular system"" http://www.freemalaysiatoday.com/category/nation/2017/08/07/muslim-world-facing-ideacide-says-egyptian-scholar/",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
dr_heba_raouf,2,hana,70,"definitely very pro-morsi based on her tweets, which is why i am assuming she's anti-sisi, but havent found anything overtly anti-sisi on twitter page",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
etharkamal,2,dana,30,"her jan25 posts seems pretty positively pro-dem... but... ""I've always denied that Saad El-Katatney is my father or uncle, because he isn't. My direct family (parents and siblings) are not MB"" and she married SCAF founders son, a doctor...denies any connection between anything... http://egyptmonocle.com/EMonocle/that-neo-power-marriage-of-mine/",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
etharkamal,2,hana,65,"tweets are anti-morsi on women""s rights issues. doesnt saz anything explicitly bad about sisi, but the sisi related tweets are not pro-sisi either",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
faiyla,2,dana,70,"overall seems critical of Ennhadha...pro-revolution..""Our victory was your victory, your victory is our victory.Move forward, great nation! #egypt #tunisia #sidibouzid #jan25 #tahrir"".. ""In Ancient Rome,the righteous ruler was the one respecting the Senate and his peers. By breaking the political consensus,Ennahdha failed.""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
faiyla,2,hana,50,"seems pro islamism ""The model of an Islam that works with democracy, previously spearheaded by Turkey, is now taken over by Tunisia""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
hamzanamira,2,dana,70,"def pro-dem but this article said although he is muslim, he is secular in views of govt... http://www.mei.edu/content/artist-revolution-hamza-namira-arab-spring-and-dream-free-egypt#edn4",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
hamzanamira,2,hana,70,tweets are pro-morsi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
i3atef,2,dana,40,maybe the right account is @3atef since this one doesn't have any tweets?... has pictures of how happy people are after morsi was elected but then later has tweets seeming to indicate that the coutnry is not morsi',"
كل إللى كان اتعمل مع شرف بيتعاد بالمسطره أتمنى من كل قلبى مينتهيش نهاية شرف مش علشانه علشان البلد مش أكتر #Morsi",Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
i3atef,2,hana,65,tweets are pro-morsi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
khamousss,2,dana,75,"this took me a while...sometimes seemed like islamists, but actually not... ""Ghannouchi talks about secularism in # Tunisia , I dream or ...?""..... ""Abdelfattah Mourou and Arwa Ben Abbes candidates # Ennahdha in Tunis2.# Tunisia Ouhhh the terrorists!"" he thinks the ennahdha and nida tounes are purposefully accting polarizing and then will just form a coalition. ... ""not be blind! The army must take power as in Egypt! And organize elections for July if all! # sidibouzid""... claims to want dem""Only democracy can save us""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
khamousss,2,hana,60,"seems pro democracy : ""
We have to talk about Federalism, Democracy, Social Justice, anything other than capitalism ..."" seems pro ennahda ""
Ennahda ready to a ""government of union"" """,NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
lastoadri,2,dana,80,"""I agree with the accusation de .. ""@iayad: The Muslim Brotherhood must be tried for political stupidity! # Egypt # Politics #Egypt"" & ""I am PROUD to witness this time in Egyptian History. I am PROUD to be an Egyptian. #Jan25""",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
lastoadri,2,hana,65,"tweets pro-MB, but anti-Mubarak",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
mand0z,2,dana,90,"""Don't fall for the regime's Muslim-Brotherhood-taking-over propaganda. Also if you want make sure they don't take over: Participate! #Jan25""",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
mand0z,2,hana,60,tweets are pro-muslim brotherhood,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
maroo_king,2,dana,60,very small amount of tweets We invited # Ennahdha  # Ettajdid  # PDP and # CPR to @ EspritTN for political debates ... no party impressed me! # Fail,NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
maroo_king,2,hana,60,"seems to be an islamist ""The Nightmare Is Not With Islam, It Is With Secularism"" and pro democracy ""Democracy... is a charming form of government, full of variety and disorder; and dispensing a sort of equality to equals and unequals alike""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
marwen,2,dana,75,pro-rev and pretty critical of Ennahahda: What irritates me most is that of all my colleagues who vote Ennahdha none of them had opened his mouth before January 14!,NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
marwen,2,hana,55,"tweets are pro democracy: ""He advocates values ​​contrary to the republic and contrary to democracy. It was democracy that was demanded on January 14"" not too confident about whether he an islamist or not, though this tweet seems to suggest he's critical of ennhada: ""RT: @lidootn: @Marwen Si Ennahda remporte les éléctions, tu dois penser à faire un e-shop pour les hommes et un autre pour les femmes.""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
midoo0,2,dana,20,"""@TheBigPharaoh sisi is amass killer مفيش مقارنة اصلا""... i can't tell his take on mb/morsi; he has liked youtube videos of the crowd cheering after morsi was elected president... tweets dont seem overtly critical and almost seems to defend them.... Replying to @EricTrager18: Ok MB are sectarian, but el mogheer is not a member and they stated that in 2012""",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
midoo0,2,hana,60,"tweets are definitely anti-sisi, but hard to estb. if he's an islamist",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
moftasa,2,dana,80,pro dem called morsi dictator,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
moftasa,2,hana,70,tweets are anti-sisi and favorable towards morsi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
nabilelhalfawy,2,dana,20,"أخشى من تأثيرالثوارالزمالكاويةعلى الثورة (كلام كثير,إحتجاج دائم,ضياع نقاط,شعور بالإضطهاد.إدمان للمركزالثانى) فال الله ولافالى #Jan25 #Tahrir","seems critical of most things, this tweet seems to indicate that he supports revolution but afraid of impact the revolutionaries will have on society",Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
nabilelhalfawy,2,hana,40,"tweets seem pro-morsi, and pro-revolution",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
riadheh,2,dana,70,"""Kamel Omrane lance son parti. Enfin une véritable alternative à Ennahdha. Très bonne nouvelle.""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
riadheh,2,hana,70,"refers to nidaa tounes as militants ""Behold Tunisia! The militants Nidaa Tounes give us a lesson of democracy"" tweets are very pro islam :""Obviously everything would have been simpler if a Muslim majority had created a universal declaration of the principles of Islam.""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
sameh_b,2,dana,40,"he seems like he didnt vote for Ennahdha but also did? relaly confused... ""@ Khaffousa  @ WalidBaccari that's the point .. and ready to accept tyranny and dictatorship again .. everything plz but not # Ennahdha !! # Fail"" and ""Merci du fond du coeur a tous ceux qui ont voté #Ennahdha..Grâce a vs ns avons honoré nos martyrs &réalisé les buts 2 la révolution #9avril"" ..and...I will vote for # Ennahdha when they stop calling their leaders ""Sheikh"" -__- so never !! # Jdcjdr",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
sameh_b,2,hana,60,"seems pro nahda ""
The people want an Islamic unity #nahda""",NA,Tunisia,"seems pro democracy ""democracy inshallah""",NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
sarah_bh,2,dana,70,Le régime parlementaire intégral d’Ennahdha est dangereux pour la #Tunisie,NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
sarah_bh,2,hana,80,"seems pro decmocracy: A second round for the presidential election for the first time in its history, a sign that Tunisia is on the right path of democracy. #Proud ""It is clear that Ennahdha remains the most structured and disciplined party in Tunisia.""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
sarahcarr,2,dana,80,"involved in jan25 providing information and news through her twitter. very critial of all leaders and has made comparisons of hitler to morsi: ""Mubarak & his jokes about sinking ferries, Morsi & his planet of the apes and Sisi & his fucking watches. Egypt is married to lunatics."" ... ""Morsi is about to speak and the studio and his posture and the presenters' obsequiousness is extremely Mubarakist."".....""Morsi saying all Egyptians were together in the revolution [unlike the constitutional assembly]""",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
sarahcarr,2,hana,60,posted pro-morsi tweets,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
themiinz,2,dana,70,"a bit confusing... ""@Mustafa_Hegazy I am not attacking him, I criticize everyone and just to let you know, I am voting Morsi."" so he seems supportive of morsi at first but becomes more critical, calls him the best of worst candidates in his article: https://mic.com/articles/10285/mohammed-morsi-does-not-rule-egypt-we-the-people-do#.qlgtPSUT4",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
themiinz,2,hana,60,tweets are not strongly pro or anti sisi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
tom_z,2,dana,70,"pro-Ghannouchi : ""constitutional i guess > @zizoo: Military coup or constitutional transition? everyone is waiting #tunisia #tunis #sidibouzid"" ... ""i agree> @ Ooouups : RESPECT RT @ drnounou : The resignation of # ghannouchi is the biggest proof of his patriotism. Respects. # tunisie""... seems supportive of sidibouzid rev",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
tom_z,2,hana,20,seems pro bce,NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
viagramoniak,2,dana,20,"small number of tweets... ""@ YassinSansE I have not yet caught the ennahdha phobia :) so let them know.""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
viagramoniak,2,hana,10,can't find that many tweets that point in either direciton,NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
yassayari,2,dana,50,"def pro dem, only reports the seats for Ennahdha
 tag..."" j'etais pas fier au nom de islam ou autre, j'etais fier que tiens, maintenant ils savent qcq ça fait""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
yassayari,2,hana,65,"""BCE (Beji caif essebsi) For democracy is like Bombing for Peace or Fucking for Virginity"" or",NA,Tunisia,NA,NA,NA,doesnt seem specifically islamist but not anti/islamism in politics http://www.twitlonger.com/show/n_1smvnpn,NA,NA,NA,NA,NA,Religion,Islamist
yusraghkh,2,dana,95,"Yusra Ghannouchi is the international spokesperson for the Tunisian Ennahdha Party and a daughter of the party founder, Rashid Ghannouchi. A trained lawyer, she studied and lived in London with her father where he lived as a political exile under the Ben Ali government. She returned to Tunisia with her father in 2011 after the protests that led to the removal of the Ben Ali government. She is active in bridge building between different communities, interfaith dialogue and advocacy for the rights of Muslim women and has lectured internationally on these issues.",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
yusraghkh,2,hana,60,"seems anti-bce: ""nor the rapes by police under BCE’s govt: thank you for waking up after decades, but we don’t need your inconsistent help. In any case>""  seems ambivalent about islamism based on this two teets ""Many 'Political Islam' movements share our values, say MPs "", but also, "" it means that islamists do not monopolise Islam, and it's possible to be a Muslim without being islamist""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
zeinabsamir,2,dana,20,def anti govt but cant tell about morsi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
zeinabsamir,2,hana,20,couldn't make out her stance based on tweets. she had one tweet that appeared pro-muslim brotherhood,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,and some that are anti-sisi,Religion,Islamist
zelaky,2,dana,69,Mercy: God is great above all # Morsi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
zelaky,2,hana,75,tweets are anti-morsi and pro-sisi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
ZiedLadhari,2,dana,95,"Minister of Industry and Trade, Tunisia. Secretary General, Ennahdha Party. Former MP, form Constituent Assembly member.",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
ZiedLadhari,2,hana,40,"doesnt seem pro-democracy: ""
there remains of course progress of progress to be made and for that we speak of transition and not of established democracy"" hard to determine whether he is secular",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
